service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,0,0,0,20190527,20190908
2,0,0,0,0,0,1,0,20190527,20190908
5,0,0,0,0,0,0,0,20190527,20190908
6,0,0,0,0,0,0,0,20190527,20190908
9,0,0,0,0,0,0,1,20190527,20190908
10,0,0,0,0,1,0,0,20190527,20190908
7201,0,0,0,0,0,0,0,20190527,20190908
7301,0,0,0,0,0,0,0,20190527,20190908
7205,0,0,0,0,0,0,0,20190527,20190908
7305,0,0,0,0,0,0,0,20190527,20190908
7210,0,0,0,0,0,0,0,20190527,20190908
7310,0,0,0,0,0,0,0,20190527,20190908
